id_municipio;nome_municipio;pib_2019;pib_2020;pib_2021;pib_2022;pib_2023
5002902;Cassilândia (MS);636865;732608;712341;1000068;1059973
5002951;Chapadão do Sul (MS);1875319;2113589;2655075;3540874;3329527
5003108;Corguinho (MS);111263;125794;144630;139570;172551
5003157;Coronel Sapucaia (MS);213916;265901;336178;361039;388241
5003207;Corumbá (MS);2781446;2885546;3847165;3858947;4187429
5003256;Costa Rica (MS);1533746;1966226;2556159;3569032;3341491
5003306;Coxim (MS);895095;1007860;1225785;1273342;1400833
5003454;Deodápolis (MS);303946;398479;461295;576103;712633
5003488;Dois Irmãos do Buriti (MS);212900;267368;310923;375901;456777
5003504;Douradina (MS);128719;181443;214592;221684;259999
5003702;Dourados (MS);9476661;10856422;12300149;17441798;20257953
5003751;Eldorado (MS);356287;443891;524691;558800;704592
5003801;Fátima do Sul (MS);493029;596151;699103;730287;769333
5003900;Figueirão (MS);105022;126630;142133;161690;186835
5004007;Glória de Dourados (MS);209764;255438;280101;332847;449930
5004106;Guia Lopes da Laguna (MS);241807;319746;350228;360936;477600
5004304;Iguatemi (MS);420026;576433;788191;756246;962593
5004403;Inocência (MS);472722;296497;406133;474388;946307
5004502;Itaporã (MS);810886;1059152;1124125;1340706;1525654
5004601;Itaquiraí (MS);686233;935133;1258878;1232966;1546553
5004700;Ivinhema (MS);1382579;1459966;1461628;1561569;2005469
5004809;Japorã (MS);107706;138567;165050;191238;242175
5004908;Jaraguari (MS);198720;261042;370994;777136;717701
5005004;Jardim (MS);596917;715523;930098;1067857;1130237
5005103;Jateí (MS);302061;401857;474840;389893;729978
5005152;Juti (MS);288712;414152;483743;388258;517930
5005202;Ladário (MS);363292;327066;371028;385976;420685
5005251;Laguna Carapã (MS);491949;725818;1097292;895138;1257650
5005400;Maracaju (MS);2548085;3680729;4517627;5775525;5921262
5005608;Miranda (MS);515590;561024;631602;673147;782435
5005681;Mundo Novo (MS);544368;640596;942239;838514;1018195
5005707;Naviraí (MS);1908762;2541336;2901635;2882132;3670207
5005806;Nioaque (MS);315021;400245;447265;541179;618784
5006002;Nova Alvorada do Sul (MS);1542215;1782900;2282707;2485637;2592615
5006200;Nova Andradina (MS);2159902;2494320;3281855;3205466;3568745
5006259;Novo Horizonte do Sul (MS);178434;247156;279117;267858;450886
5006275;Paraíso das Águas (MS);738899;903104;1296594;1545566;1389706
5006309;Paranaíba (MS);1373411;1401592;1587295;1606751;2012106
5006358;Paranhos (MS);179502;233592;286014;241040;371183
5006408;Pedro Gomes (MS);223218;263209;268953;390021;460934
5006606;Ponta Porã (MS);3219707;4288574;4771500;4682122;6069790
5006903;Porto Murtinho (MS);354839;405854;464125;452838;571511
5007109;Ribas do Rio Pardo (MS);1122906;1591002;1965364;2220978;3353286
5007208;Rio Brilhante (MS);2334595;3121464;3298707;3253727;3833911
5007307;Rio Negro (MS);105601;110440;130213;157675;170386
5007406;Rio Verde de Mato Grosso (MS);482076;549512;601958;843881;926597
5007505;Rochedo (MS);179112;228387;231964;373746;352337
5007554;Santa Rita do Pardo (MS);255664;328380;467080;414091;642967
5007695;São Gabriel do Oeste (MS);1574226;1842228;2185644;3210185;2883850
5007703;Sete Quedas (MS);267443;318955;418189;408989;493949
5007802;Selvíria (MS);2308036;2656110;1721432;2961878;2691218
5007901;Sidrolândia (MS);1992068;2710629;3327696;3961554;4102346
5007935;Sonora (MS);764439;882706;1024261;1492717;1489093
5007950;Tacuru (MS);197865;259255;313035;299109;378151
5007976;Taquarussu (MS);109807;165461;181313;165127;215369
5008008;Terenos (MS);568755;653287;717675;934248;1348544
5008305;Três Lagoas (MS);10354989;11624342;11704743;13045271;14761816
5008404;Vicentina (MS);266726;285920;371816;318971;384734
5100102;Acorizal (MT);84967;105486;109140;143255;169373
5100201;Água Boa (MT);1080644;1487486;2000535;2559709;2479715
5100250;Alta Floresta (MT);1559471;1814866;2111630;2570691;3034593
5100300;Alto Araguaia (MT);850937;944266;1172814;1820876;2036609
5100359;Alto Boa Vista (MT);123442;177251;264000;321152;307732
5100409;Alto Garças (MT);662565;849032;1197572;1382832;1233308
5100508;Alto Paraguai (MT);122240;136156;166610;155562;171251
5100607;Alto Taquari (MT);857896;974752;1295710;1516366;1194826
5100805;Apiacás (MT);167075;181921;233790;256494;291453
5101001;Araguaiana (MT);69007;94097;126561;172514;169005
5101209;Araguainha (MT);21087;22949;28025;31669;31097
5101258;Araputanga (MT);472557;560461;655066;707293;864362
5101308;Arenápolis (MT);177353;201209;232216;270202;325467
5101407;Aripuanã (MT);940223;1302652;1445988;1397041;1451936
5101605;Barão de Melgaço (MT);92669;104155;124583;121806;143657
5101704;Barra do Bugres (MT);1293546;1413570;1568772;1774307;1774198
5101803;Barra do Garças (MT);2114457;2289403;2578984;3208206;3537696
5101852;Bom Jesus do Araguaia (MT);319587;551469;769106;1178321;1001994
5101902;Brasnorte (MT);948734;1483475;2087054;2458070;2668091
5102504;Cáceres (MT);1912039;2043511;2264298;2349227;2795729
5102603;Campinápolis (MT);295714;370963;437258;498545;614856
5102637;Campo Novo do Parecis (MT);3403076;4610007;6910185;7304671;7917233
5102678;Campo Verde (MT);2367716;3601420;4992842;5239952;5099105
5102686;Campos de Júlio (MT);1335662;1914450;3302451;2919960;2905079
5102694;Canabrava do Norte (MT);128847;171454;267165;299805;299035
5102702;Canarana (MT);1283629;1813956;2931363;3111500;3000654
5102793;Carlinda (MT);179931;220340;299341;373988;423098
5102850;Castanheira (MT);134976;162897;215078;217319;261557
5103007;Chapada dos Guimarães (MT);717207;846168;1214478;1386948;1817596
5103056;Cláudia (MT);451071;866710;1068338;1189669;1192573
5103106;Cocalinho (MT);165840;215531;297648;348086;363690
5103205;Colíder (MT);902384;1019732;1269286;1544915;1958222
5103254;Colniza (MT);559129;705122;849011;781097;852175
5103304;Comodoro (MT);734179;952274;1258117;1123199;1088026
5103353;Confresa (MT);883663;1108243;1536916;1746499;1967776
5103361;Conquista D'Oeste (MT);98046;112756;143169;157866;179152
5103379;Cotriguaçu (MT);226905;267784;324391;271309;327751
5103403;Cuiabá (MT);24615163;26555611;29743722;34153881;39050753
5103437;Curvelândia (MT);121497;115333;123824;136476;135779
5103452;Denise (MT);558319;643570;529572;503915;777254
5103502;Diamantino (MT);2451237;3358058;5746756;5401805;5741878
5103601;Dom Aquino (MT);320232;440425;673289;739336;724834
5103700;Feliz Natal (MT);522507;797193;1044834;1209071;1151311
5103809;Figueirópolis D'Oeste (MT);59449;69857;83603;90431;112557
5103858;Gaúcha do Norte (MT);539769;855856;1290850;1447641;1385921
5103908;General Carneiro (MT);227531;339518;481705;595399;506493
5103957;Glória D'Oeste (MT);80581;78781;89215;89134;115168
5104104;Guarantã do Norte (MT);880823;1015783;1099092;1082920;1286329
5104203;Guiratinga (MT);419305;490692;727107;748424;706016
5104500;Indiavaí (MT);73525;77578;103576;105729;109660
5104526;Ipiranga do Norte (MT);734445;1327308;1924821;2182478;2175037
5104542;Itanhangá (MT);286973;506096;721420;816015;856166
5104559;Itaúba (MT);188606;326622;418990;596681;666707
5104609;Itiquira (MT);1292899;1503295;2144680;2231710;2049319
5104807;Jaciara (MT);964778;1087949;1197725;1401159;1711568
5104906;Jangada (MT);181285;167571;188752;182481;210301
5105002;Jauru (MT);292610;319274;348767;330596;371424
5105101;Juara (MT);878532;1085395;1365473;1555633;1859025
5105150;Juína (MT);1090852;1180118;1332790;1538462;1845536
5105176;Juruena (MT);212902;264032;297859;304752;386051
5105200;Juscimeira (MT);317383;417336;528595;554939;555049
5105234;Lambari D'Oeste (MT);256054;225193;244948;272835;284219
5105259;Lucas do Rio Verde (MT);4470107;5818009;6891172;8003926;8238966
5105309;Luciara (MT);31003;34937;41158;54686;95374
5105507;Vila Bela da Santíssima Trindade (MT);337238;458994;639027;733512;946663
5105580;Marcelândia (MT);336521;471093;674525;949768;1029292
5105606;Matupá (MT);1007002;1040943;1282800;1625932;1790694
5105622;Mirassol d'Oeste (MT);784147;799980;835566;1025802;1163379
5105903;Nobres (MT);614303;821279;1114842;1181391;1492553
5106000;Nortelândia (MT);145161;213079;325635;344518;399399
5106109;Nossa Senhora do Livramento (MT);300885;351464;387788;375822;433626
5106158;Nova Bandeirantes (MT);224200;258637;343302;404641;506046
5106174;Nova Nazaré (MT);77138;100659;140562;182489;183702
5106182;Nova Lacerda (MT);199783;289565;445568;390805;486837
5106190;Nova Santa Helena (MT);166418;233116;333226;446336;483791
5106208;Nova Brasilândia (MT);77525;88502;109110;150092;216720
5106216;Nova Canaã do Norte (MT);491320;714881;909101;972702;1057942
5106224;Nova Mutum (MT);3160477;4649826;6036492;7464906;7647129
5106232;Nova Olímpia (MT);688308;741649;732047;925054;771964
5106240;Nova Ubiratã (MT);1297574;2270023;3270100;3432071;3184847
5106257;Nova Xavantina (MT);658290;883910;1033180;1029677;1185192
5106265;Novo Mundo (MT);224053;329216;486222;593945;626984
5106273;Novo Horizonte do Norte (MT);59155;81001;101476;97561;132646
5106281;Novo São Joaquim (MT);350808;584125;862983;1070882;930872
5106299;Paranaíta (MT);757363;673181;796134;756270;833109
5106307;Paranatinga (MT);1067825;1498134;2135755;2601146;2920746
5106315;Novo Santo Antônio (MT);41407;49004;56622;64419;71503
5106372;Pedra Preta (MT);840482;1113068;1575720;1462613;1490775
5106422;Peixoto de Azevedo (MT);609045;721849;918432;995051;1146389
